InChI.Key,PubChem,KEGG,
SJZRECIVHVDYJC-UHFFFAOYSA-N,10413,C00989,C(CC(=O)O)CO
SOUZQPFUXRVDGK-KCTKZSJBSA-N,53481701,C00157,CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC
SPJFYYJXNPEZDW-FTJOPAKQSA-N,11005824,NA,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
SPWBDEZMKCRQSX-NGPPOSSDSA-N,52922847,C00157,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
SRBFZHDQGSBBOR-SOOFDHNKSA-N,10975657,NA,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
SUACBSWYGWBPFC-GPUJSUHJSA-N,52923235,C00157,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C
SUHOOTKUPISOBE-UHFFFAOYSA-N,1015,C00346,C(COP(=O)(O)O)N
SUZYROYNFNQALJ-MHEIZRSESA-N,52923341,C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
SVWBXNAUENUONE-LDLOPFEMSA-N,173570,C00157,CCCCCCCCCCCCCCCCO[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
SWXVUIWOUIDPGS-UHFFFAOYSA-N,31256,NA,CC(=O)CC(C)(C)O
TUNFSRHWOTWDNC-UHFFFAOYSA-N,11005,C06424,CCCCCCCCCCCCCC(=O)O
UCMIRNVEIXFBKS-UHFFFAOYSA-N,239,C00099,C(CN)C(=O)O
UGQMRVRMYYASKQ-KQYNXXCUSA-N,6021,C00294,
UKMSUNONTOPOIO-UHFFFAOYSA-N,8215,C08281,CCCCCCCCCCCCCCCCCCCCCC(=O)O
UUYSKERSKRMYME-MAIXUNBTSA-N,52925126,NA,CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
VBICKXHEKHSIBG-UHFFFAOYSA-N,24699,D01947,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O
VBICKXHEKHSIBG-UHFFFAOYSA-N,24699,NA,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O
VKOBVWXKNCXXDE-UHFFFAOYSA-N,10467,C06425,CCCCCCCCCCCCCCCCCCCC(=O)O
VKVSSDKCKXJFIM-AFYHZPHLSA-N,52923213,C00157,CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C
VQHSOMBJVWLPSR-JVCRWLNRSA-N,157355,C13542,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O
VRBJSZDBPQLNEM-PFTGJCAASA-N,52924646,NA,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN
VXUOFDJKYGDUJI-OAQYLSRUSA-N,460604,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
VZCYOOQTPOCHFL-OWOJBTEDSA-N,444972,C00122,C(=C/C(=O)O)\C(=O)O
WFZVBCSNPDDHDI-FNORWQNLSA-N,5371086,NA,
WHUUTDBJXJRKMK-VKHMYHEASA-N,33032,C00025,C(CC(=O)O)[C@@H](C(=O)O)N
WPYMKLBDIGXBTP-UHFFFAOYSA-N,243,C00180,C1=CC=C(C=C1)C(=O)O
WQEPLUUGTLDZJY-UHFFFAOYSA-N,13849,C16537,CCCCCCCCCCCCCCC(=O)O
WQZGKKKJIJFFOK-PHYPRBDBSA-N,439357,C00984,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O
WQZGKKKJIJFFOK-VFUOTHLCSA-N,64689,C00221,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O
WRHZVMBBRYBTKZ-UHFFFAOYSA-N,12473,C05942,C1=CNC(=C1)C(=O)O
WTJKGGKOPKCXLL-VYOBOKEXSA-N,5497103,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC
WVGALBKSWOUIEZ-XNHMFJFDSA-N,5283497,NA,CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
WWZKQHOCKIZLMA-UHFFFAOYSA-N,119389,C06423,CCCCCCCC(=O)[O-]
WZCLAXMADUBPSG-RIXBAXMTSA-,52922657,C00157,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC
XMHIUKTWLZUKEX-UHFFFAOYSA-N,10469,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O
XOAAWQZATWQOTB-UHFFFAOYSA-N,1123,C00245,C(CS(=O)(=O)O)N
XSQUKJJJFZCRTK-UHFFFAOYSA-N,1176,C00086,C(=O)(N)N
XSXIVVZCUAHUJO-HZJYTTRNSA-N,6439848,C16525,CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O
XUWHAWMETYGRKB-UHFFFAOYSA-N,12665,NA,C1CCNC(=O)C1
XVXISDREVDGQPX-PISDLAQISA-N,52925079,NA,CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC
YAMUFBLWGFFICM-PTGWMXDISA-N,16081932,C04230,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
YDNKGFDKKRUKPY-TURZORIXSA-N,5283564,C00195,CCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](/C=C/CCCCCCCCCCCCC)O
YHSWSUHZIXJBHZ-OWTAGOBYSA-N,52924972,NA,CCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
YLWBKBDNHWQEFU-YJXJLLHLSA-N,52923235,C00157,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C
YMTVMVYOUDDTQJ-UOMMIRHQSA-N,52931155,C00550,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@@H](/C=C/CCCCCCCC/C=C\CCC)O
YWDDIWXKFJEMKF-JTZVLWBESA-N,52922891,C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
YYGNTYWPHWGJRM-AAJYLUCBSA-N,5280370,C00751,CC(=CCCC(=CCCC(=CCC/C=C(\C)/CCC=C(C)CCC=C(C)C)C)C)C
YYILQTLJZBSOCA-IMJQGFQJSA-N,70699246,NA,CCCCCCCCCCCCCCCCCCC(C(=O)N[C@@H](CO[C@H]1C(C([C@@H]([C@H](O1)CO)O)O)O)[C@@H](/C=C/CCCCCCCCC)O)O
YZXBAPSDXZZRGB-DOFZRALJSA-N,444899,C00219,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
ZHMWOVGZCINIHW-SPHYCDKFSA-N,9989541,NA,[C@@H]1([C@@H]([C@H](C2C([C@@H]1O)O2)O)O)O
ZQPPMHVWECSIRJ-KTKRTIGZSA-N,445639,C00712,CCCCCCCC/C=C\CCCCCCCC(=O)O
ZTZQZGHJLWFLFQ-VZBWJDOASA-N,53480855,NA,CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC
