analyte,Chisq_overall,Chi Df_overall,Pr(>Chisq)_overall,DO_DenDF,DO_meansq,DO_NumDF,DO_p.value,DO_statistic,DO_sumsq,pH_DenDF,pH_meansq,pH_NumDF,pH_p.value,pH_statistic,pH_sumsq,pH:DO_DenDF,pH:DO_meansq,pH:DO_NumDF,pH:DO_p.value,pH:DO_statistic,pH:DO_sumsq,VIP_PLSDA_VIP_comp6AVG
X1996,1.2433749906499543,3,0.7426210851194888,6.201412010266483,83646.32499677224,1,0.4212323842181886,0.7414666550838135,83646.32499677224,6.201412010330953,18.773670176783828,1,0.9901124468539402,1.6641556494160142e-4,18.773670176783828,6.201412009844122,837.3203093155029,1,0.9340597259609942,0.007422263787510895,837.3203093155029,0.5209509745681011
X2.hydroxypyrazinyl.2.propenoic.acid.ethyl.ester.NIST,1.598171840770533,3,0.6598044135848349,6.746678233462846,345735.2297224735,1,0.4992512728669729,0.5096104339641504,345735.2297224735,6.746678233417932,321792.205317639,1,0.5139841309775137,0.47431864415390645,321792.205317639,6.746678233805028,74023.358894515055,1,0.7511794725527778,0.10910972561285905,74023.358894515055,1.0932646990060797
X2.ketoadipic.acid,1.4765514377736508,3,0.6876927239272527,6.254627447792714,5253853.542977465,1,0.4091642959577578,0.782245030409432,5253853.542977465,6.254627447791976,235303.01755977605,1,0.8574488580156118,0.03503421148320876,235303.01755977605,6.254627448153612,835826.4269366512,1,0.7358468681189314,0.12444600204548793,835826.4269366512,0.7759807295053546
X2001,3.6986987692819184,3,0.2958910771673057,6.691882291061393,110357.17248886138,1,0.4750263788329727,0.5725801121691245,110357.17248886138,6.6918822908139814,163778.50743102175,1,0.38864752885642817,0.849752798489027,163778.50743102175,6.691882291639738,246897.01512416583,1,0.2966334597684211,1.2810070920246308,246897.01512416583,0.765784595124037
X2017,1.5037868815129514,3,0.6813965962561096,54.999999998548475,365013.3667502084,1,0.2573053575956119,1.310255654802523,365013.3667502084,54.999999998347654,26102.003007518633,1,0.7606856981158067,0.09369601268788116,26102.003007518633,54.999999998347604,487.64043441935723,1,0.9667791601098095,0.0017504390110337153,487.64043441935723,0.8450435749086241
X2023,2.2051161861249966,3,0.5309413452631502,54.9999999992906,4323.612030075163,1,0.6293145810592431,0.23562152326717423,4323.612030075163,54.999999999671495,18532.267000835356,1,0.31931754387527467,1.0099428325105533,18532.267000835356,54.99999999948099,16764.87518796989,1,0.3433366700370696,0.9136262462256238,16764.87518796989,0.5524905512541108
X20282,0.1365031145822968,3,0.9871229202980393,6.1710667154959395,181.10251028432683,1,0.9915721443938413,1.2095194802948406e-4,181.10251028432683,6.171066715183829,29056.698074302938,1,0.8936445202778801,0.019405938823674335,29056.698074302938,6.171066714818866,107488.41141482374,1,0.7974828640574793,0.07178770040683806,107488.41141482374,0.6058028777687562
X2030,2.0594384713785985,3,0.5601621185464238,55.00000000024492,8437815.675522102,1,0.7508162928657094,0.10186136440849679,8437815.675522102,54.999999999186194,138177638.55271494,1,0.20191718848006904,1.668081329929353,138177638.55271494,55.0000000002448,18475364.30710105,1,0.6386058084327884,0.223034715219577,18475364.30710105,0.9225187420228032
X203807,6.409669879315629,3,0.09329378800469015,6.085918039557415,217846.9181477816,1,0.3505445429178158,1.0219604677214067,217846.9181477816,6.085918038014664,894248.0468340281,1,0.08579433976974374,4.195084144277412,894248.0468340281,6.085918038014599,128732.11763392283,1,0.466214900323787,0.6039063405922717,128732.11763392283,1.1762726360608602
X203819,3.893210130007674,3,0.2732287983187811,54.999999999100126,625289602.6767755,1,0.12355137853754383,2.4461268461343306,625289602.6767755,54.999999999100076,30241934.74695014,1,0.7321904660701504,0.11830615469516582,30241934.74695014,54.999999999100034,326663506.48028207,1,0.2631946812882299,1.2779044612818293,326663506.48028207,0.711438651112602
X204741,2.3294473608029875,3,0.5069030592793541,7.581314969891114,2779187.477054196,1,0.2777213236948694,1.3673120311951645,2779187.477054196,7.581314970485448,210041.39580962862,1,0.7565443030284651,0.1033367233807273,210041.39580962862,7.581314970162951,419623.46324582776,1,0.6622914000991852,0.20644746516919255,419623.46324582776,1.0568833712672445
